Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api,150552,0,19,31.14969478981507,8.452799986116588,3122.025199991185,172.06311440565386,41.79732610686711,0.0,19,21,22,23,27,40,85,420,1500,2900,3100
,Aggregated,150552,0,19,31.14969478981507,8.452799986116588,3122.025199991185,172.06311440565386,41.79732610686711,0.0,19,21,22,23,27,40,85,420,1500,2900,3100
