"(PDH-CSV 4.0) (Hora oficial do Brasil)(180)","\\DESKTOP-HLEFP10\Informações do Processador(_Total)\% de Utilitário do Processador","\\DESKTOP-HLEFP10\Informações do Processador(_Total)\% Tempo do Processador","\\DESKTOP-HLEFP10\Processador Lógico do Hipervisor Hyper-V(_Total)\% do Tempo Total de Execução","\\DESKTOP-HLEFP10\Processador Virtual de Hipervisor do Hyper-V(minikube:Hv VP 0)\% do Tempo Total de Execução","\\DESKTOP-HLEFP10\Processador Virtual de Hipervisor do Hyper-V(minikube:Hv VP 1)\% do Tempo Total de Execução","\\DESKTOP-HLEFP10\Processador Virtual de Hipervisor do Hyper-V(minikube:Hv VP 2)\% do Tempo Total de Execução","\\DESKTOP-HLEFP10\Processador Virtual de Hipervisor do Hyper-V(minikube:Hv VP 3)\% do Tempo Total de Execução","\\DESKTOP-HLEFP10\Processador Virtual de Hipervisor do Hyper-V(minikube:Hv VP 4)\% do Tempo Total de Execução","\\DESKTOP-HLEFP10\Processador Virtual de Hipervisor do Hyper-V(minikube:Hv VP 5)\% do Tempo Total de Execução","\\DESKTOP-HLEFP10\Processador Virtual de Hipervisor do Hyper-V(minikube:Hv VP 6)\% do Tempo Total de Execução","\\DESKTOP-HLEFP10\Processador Virtual de Hipervisor do Hyper-V(minikube:Hv VP 7)\% do Tempo Total de Execução","\\DESKTOP-HLEFP10\Processo(_Total)\% tempo de processador"
"09/07/2022 15:11:05.476"," "," "," "," "," "," "," "," "," "," "," "," "
"09/07/2022 15:11:06.467","15.24989965598659758","18.666883749633601752","25.825249588312825466","3.5865714889559385803","2.1032111955152941185","3.8840515187117214957","2.2002178210260252555","3.8166838078828333458","1.8588880082174936703","3.5417736530279597673","3.371721083052084289","1571.3147517750348925"
"09/07/2022 15:11:07.474","19.893586364770044383","31.16971480714082432","36.280209597170880897","7.6071532201818614638","3.3545501838259403904","6.2918021831496817597","4.3530594565381521832","10.22573483637771119","3.9471825690637749595","6.5688547452737973131","4.17255102203007322","1562.7245543624787842"
"09/07/2022 15:11:08.466","18.901444792602351441","26.152961058138902928","30.099013204094465124","6.0379160016065096528","2.2731599220989653354","8.4293537055018941118","2.778555065637809296","3.7010045672943170381","3.4954688292431210783","6.810364622977090221","2.5688644464173644444","1543.1415177490532642"
"09/07/2022 15:11:09.489","17.156030809468092002","25.160807126460415617","29.988392135784771142","4.7868517424632086588","3.7542748317135292702","6.5601266376771532052","3.5743446917261936235","5.2988234354330501219","2.9019937788918555022","5.0596731102373571076","4.4217671426276687896","1562.4510778527483126"
"09/07/2022 15:11:10.480","14.175064860376529907","21.126601874546825144","23.506777189957521301","6.2706151342533562598","3.5646917996492293312","7.5800903866294584432","4.7240331423109607201","5.5988647574814249808","3.7750928921385011883","6.1860270657993190468","4.7891056246711301014","1568.7960171747620279"
"09/07/2022 15:11:11.471","17.834626069168894702","29.583883247412778417","32.085015494752745724","4.9944140003036459063","2.361625580365676047","4.5046172172734477712","3.580763151734520644","3.6136728390083390217","3.3884462904481909007","4.3512335057742639322","3.3958876552537917703","1545.0225038433734426"
"09/07/2022 15:11:12.477","19.104921338415763898","23.436660500920890371","30.841271948423209182","18.535070646381868187","3.1326747510441683708","6.9053894020242188034","3.5182707941593887035","5.4382101086878744667","4.4443313640447987822","6.5653989114899031776","3.2825974064696632482","1579.016167535671002"
"09/07/2022 15:11:13.484","16.478124726946326462","23.572439405937196","31.337869242636955391","4.6207602311308537679","2.732546614988538014","3.8769740627281965573","3.3506837562705791278","4.6689528038610461635","1.6581017373398283521","4.9862355951362458129","2.256501169591920597","1558.034307443694388"
"09/07/2022 15:11:14.476","20.623012109599294206","27.545187609324862876","31.596524235267196445","5.7464732181864519589","4.8455034951252047293","4.5147337445075983453","2.9871065860124579316","6.5121387667661903009","4.4118398427261080741","5.7705531032157200144","5.6055098141246029186","1582.1868120242418172"
"09/07/2022 15:11:15.483","20.856453545088545098","32.414564989707251641","41.270478976898147039","5.4077089777561999639","4.2916295055513691281","4.5421608827496440242","3.1744461219746589187","6.5672752416897575145","3.7047749887981358263","4.7515572924912845565","3.4782558602539657144","1536.7015745659014101"
"09/07/2022 15:11:16.490","17.266047624798968485","23.378455711454616761","25.828501204321618445","3.8450326709685005433","2.2542041790447044924","4.4337341930624223352","3.400083526714396065","4.0391946975805632647","2.9735287942223838087","3.3000788421859126309","3.2292805050204176354","1585.1990883363230296"
"09/07/2022 15:11:17.480","16.303644627778567155","22.656547693369489593","28.96893886874186208","8.2061017214955711552","4.1082294511240897705","5.0082947023531003694","3.1002308253704238261","6.5921594007197619192","5.0459387208211650133","4.9619376561259365133","3.0005137288061605183","1562.6688945168821192"
"09/07/2022 15:11:18.485","12.477780891184318435","18.967243967512604996","20.270182589385402849","6.6133451604485280484","2.875437668485202547","5.8933740749453020769","5.8452870784520527536","4.3150456140727948551","2.8433055951256536176","5.5705742036181122856","2.9599464617084718654","1576.3381973347086387"
"09/07/2022 15:11:19.490","9.4384895265240480455","12.237126439561386348","21.657053292897469277","4.7910497004971892565","2.9016275451513315886","4.9831772274386896271","3.7511341165754399363","5.0408039964924187259","3.7527372167437804684","5.4699377652084706369","3.6188709539044738861","1590.8098847645310343"
"09/07/2022 15:11:20.465","12.706709983346049953","15.762716610311134247","16.85348314794239144","6.0688560004299194617","4.1414515828864013613","5.1317598210353230215","4.3555257898912183023","6.0059270366303989519","3.1513066749967775237","5.7466421787717516523","2.3421076517642904768","1602.6125918681643725"
