Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api,15064,0,17,40.29513919268421,11.964200006332248,4544.644200010225,172.05377057886352,4.1812417530223485,0.0,17,19,19,20,22,28,550,770,1300,2000,4500
,Aggregated,15064,0,17,40.29513919268421,11.964200006332248,4544.644200010225,172.05377057886352,4.1812417530223485,0.0,17,19,19,20,22,28,550,770,1300,2000,4500
